Date,open,high,low,close,volume
1/2/1962,0.1911,0.1976,0.1911,0.1911,408858
1/3/1962,0.1911,0.1944,0.1911,0.1937,389370
1/4/1962,0.1937,0.1944,0.1924,0.1937,467127
1/5/1962,0.1937,0.195,0.1931,0.1944,467127
1/8/1962,0.1944,0.1969,0.1899,0.1937,623031
1/9/1962,0.1937,0.1976,0.1924,0.1976,311418
1/10/1962,0.1976,0.2008,0.1976,0.1995,330906
1/11/1962,0.1995,0.2065,0.1988,0.2053,992914
1/12/1962,0.2053,0.2059,0.1963,0.1988,992914
1/15/1962,0.1988,0.2001,0.1976,0.1988,311418
1/16/1962,0.1976,0.1976,0.1924,0.1937,175197
1/17/1962,0.1937,0.1937,0.1873,0.1873,194685
1/18/1962,0.1886,0.1924,0.1886,0.1911,155709
1/19/1962,0.1924,0.195,0.1924,0.195,214173
1/22/1962,0.1963,0.1982,0.1963,0.1982,175197
1/23/1962,0.1982,0.2027,0.1963,0.1976,584055
1/24/1962,0.1976,0.1976,0.1924,0.195,175197
1/25/1962,0.195,0.1956,0.1924,0.1924,77757
1/26/1962,0.1924,0.195,0.1911,0.1911,175197
1/29/1962,0.1911,0.1937,0.1911,0.1911,116733
1/30/1962,0.1911,0.1931,0.1899,0.1924,330906
1/31/1962,0.1924,0.1931,0.1911,0.1924,155709
2/1/1962,0.1924,0.1982,0.1924,0.195,623031
2/2/1962,0.195,0.1976,0.195,0.195,311418
2/5/1962,0.195,0.1969,0.195,0.195,194685
2/6/1962,0.195,0.1963,0.1937,0.1937,116733
2/7/1962,0.195,0.1976,0.195,0.1963,700788
2/8/1962,0.1988,0.2033,0.1988,0.2014,1031890
2/9/1962,0.2021,0.204,0.2021,0.2027,506103
2/12/1962,0.2027,0.2033,0.2014,0.2027,311418
2/13/1962,0.2027,0.2027,0.2001,0.2027,311418
2/14/1962,0.2021,0.2021,0.2001,0.2001,97245
2/15/1962,0.2008,0.2021,0.2008,0.2014,233661
2/16/1962,0.2027,0.2085,0.2027,0.2053,1849411
2/19/1962,0.2053,0.2053,0.2021,0.2021,408858
2/20/1962,0.2033,0.204,0.2033,0.204,116733
2/21/1962,0.2027,0.2027,0.2014,0.2014,58464
2/23/1962,0.2014,0.2021,0.2001,0.2001,214173
2/26/1962,0.1976,0.1976,0.1924,0.195,369882
2/27/1962,0.195,0.1976,0.1937,0.1937,233661
2/28/1962,0.1937,0.195,0.1918,0.1918,136221
3/1/1962,0.1924,0.1969,0.1924,0.1969,214173
3/2/1962,0.1969,0.1982,0.1956,0.1956,136221
3/5/1962,0.1963,0.1995,0.1963,0.1963,214173
3/6/1962,0.1963,0.1963,0.1937,0.1937,77757
3/7/1962,0.1924,0.1924,0.1924,0.1924,58464
3/8/1962,0.1924,0.1956,0.1918,0.1956,175197
3/9/1962,0.1956,0.1976,0.195,0.195,252954
3/12/1962,0.1956,0.1988,0.1956,0.1988,194685
3/13/1962,0.1988,0.2021,0.1988,0.2021,175197
3/14/1962,0.2021,0.204,0.2001,0.2001,291930
3/15/1962,0.2001,0.2027,0.2001,0.2014,136221
3/16/1962,0.2014,0.2021,0.2008,0.2014,58464
3/19/1962,0.2014,0.2033,0.2014,0.2014,272442
3/20/1962,0.2001,0.2001,0.1988,0.1988,116733
3/21/1962,0.1982,0.1982,0.1956,0.1956,155709
3/22/1962,0.195,0.195,0.1937,0.1937,58464
3/23/1962,0.1937,0.1963,0.1937,0.1937,214173
3/26/1962,0.1937,0.195,0.1924,0.1924,97245
3/27/1962,0.1911,0.1911,0.1899,0.1899,116733
3/28/1962,0.1892,0.1892,0.1879,0.1886,116733
3/29/1962,0.1899,0.1918,0.1899,0.1918,155709
3/30/1962,0.1918,0.1924,0.1905,0.1918,214173
4/2/1962,0.1918,0.1937,0.1899,0.1899,136221
4/3/1962,0.1899,0.1918,0.1886,0.1886,155709
4/4/1962,0.1899,0.1899,0.1899,0.1899,77757
4/5/1962,0.1899,0.1905,0.1886,0.1886,155709
4/6/1962,0.1905,0.1937,0.1905,0.1905,194685
4/9/1962,0.1905,0.1918,0.1905,0.1911,194685
4/10/1962,0.1911,0.1918,0.1905,0.1905,58464
4/11/1962,0.1905,0.1924,0.1886,0.1886,155709
4/12/1962,0.1854,0.1854,0.1796,0.1796,467127
4/13/1962,0.1796,0.1796,0.1745,0.1783,584055
4/16/1962,0.179,0.1809,0.179,0.1809,291930
4/17/1962,0.1828,0.1854,0.1828,0.1847,311418
4/18/1962,0.186,0.1886,0.186,0.1873,311418
4/19/1962,0.1873,0.1905,0.1873,0.1873,214173
4/23/1962,0.1899,0.1905,0.1899,0.1899,291930
4/24/1962,0.1905,0.1937,0.1905,0.1924,252954
4/25/1962,0.1924,0.1944,0.1918,0.1918,447639
4/26/1962,0.1911,0.1911,0.1873,0.1873,194685
4/27/1962,0.1873,0.1886,0.1834,0.1834,175197
4/30/1962,0.1802,0.1802,0.1764,0.1764,214173
5/1/1962,0.1764,0.1796,0.1757,0.1783,233661
5/2/1962,0.1783,0.1809,0.177,0.1796,155709
5/3/1962,0.1796,0.1796,0.1777,0.1783,175197
5/4/1962,0.1783,0.1796,0.1783,0.1783,116733
5/7/1962,0.177,0.177,0.1757,0.1757,155709
5/8/1962,0.1757,0.1783,0.1719,0.1719,252954
5/9/1962,0.1693,0.1693,0.1655,0.1668,408858
5/10/1962,0.1655,0.1655,0.1642,0.1642,272442
